episode 1, episode_reward -32.000000, sigma 0.400000
episode 2, episode_reward -26.680000, sigma 0.399800
episode 3, episode_reward -29.520000, sigma 0.399600
episode 4, episode_reward -43.720000, sigma 0.399400
episode 5, episode_reward -25.240000, sigma 0.399201
episode 6, episode_reward -36.200000, sigma 0.399001
episode 7, episode_reward 1.440000, sigma 0.398801
episode 8, episode_reward -41.400000, sigma 0.398602
episode 9, episode_reward 7.160000, sigma 0.398403
episode 10, episode_reward -37.560000, sigma 0.398204
episode 11, episode_reward -30.680000, sigma 0.398004
episode 12, episode_reward -6.760000, sigma 0.397805
episode 13, episode_reward -41.080000, sigma 0.397607
episode 14, episode_reward -32.240000, sigma 0.397408
episode 15, episode_reward -36.560000, sigma 0.397209
episode 16, episode_reward -43.360000, sigma 0.397010
episode 17, episode_reward -47.040000, sigma 0.396812
episode 18, episode_reward -39.040000, sigma 0.396614
episode 19, episode_reward -26.040000, sigma 0.396415
episode 20, episode_reward 3.080000, sigma 0.396217
episode 21, episode_reward -37.040000, sigma 0.396019
episode 22, episode_reward -35.920000, sigma 0.395821
episode 23, episode_reward -42.560000, sigma 0.395623
episode 24, episode_reward -35.760000, sigma 0.395425
episode 25, episode_reward -55.760000, sigma 0.395227
episode 26, episode_reward -32.520000, sigma 0.395030
episode 27, episode_reward -35.760000, sigma 0.394832
episode 28, episode_reward -38.120000, sigma 0.394635
episode 29, episode_reward -7.680000, sigma 0.394438
episode 30, episode_reward -6.000000, sigma 0.394240
episode 31, episode_reward -7.200000, sigma 0.394043
episode 32, episode_reward -43.880000, sigma 0.393846
episode 33, episode_reward -44.480000, sigma 0.393649
episode 34, episode_reward -39.240000, sigma 0.393453
episode 35, episode_reward 1.320000, sigma 0.393256
episode 36, episode_reward -41.280000, sigma 0.393059
episode 37, episode_reward -4.680000, sigma 0.392863
episode 38, episode_reward -25.320000, sigma 0.392666
episode 39, episode_reward -39.840000, sigma 0.392470
episode 40, episode_reward -29.040000, sigma 0.392274
episode 41, episode_reward -42.360000, sigma 0.392078
episode 42, episode_reward -32.640000, sigma 0.391881
episode 43, episode_reward -23.920000, sigma 0.391686
episode 44, episode_reward -21.760000, sigma 0.391490
episode 45, episode_reward -34.320000, sigma 0.391294
episode 46, episode_reward -51.840000, sigma 0.391098
episode 47, episode_reward -43.000000, sigma 0.390903
episode 48, episode_reward -43.480000, sigma 0.390707
episode 49, episode_reward -43.800000, sigma 0.390512
episode 50, episode_reward -45.840000, sigma 0.390317
episode 51, episode_reward -52.400000, sigma 0.390122
episode 52, episode_reward -34.760000, sigma 0.389926
episode 53, episode_reward -72.360000, sigma 0.389732
episode 54, episode_reward -80.440000, sigma 0.389537
episode 55, episode_reward -85.080000, sigma 0.389342
episode 56, episode_reward -69.120000, sigma 0.389147
episode 57, episode_reward -66.360000, sigma 0.388953
episode 58, episode_reward -40.880000, sigma 0.388758
episode 59, episode_reward -48.800000, sigma 0.388564
episode 60, episode_reward -61.240000, sigma 0.388369
episode 61, episode_reward -64.360000, sigma 0.388175
episode 62, episode_reward -55.040000, sigma 0.387981
episode 63, episode_reward -53.120000, sigma 0.387787
episode 64, episode_reward -50.680000, sigma 0.387593
episode 65, episode_reward -57.360000, sigma 0.387400
episode 66, episode_reward -61.920000, sigma 0.387206
episode 67, episode_reward -47.640000, sigma 0.387012
episode 68, episode_reward -57.200000, sigma 0.386819
episode 69, episode_reward -47.760000, sigma 0.386625
episode 70, episode_reward -70.640000, sigma 0.386432
episode 71, episode_reward -56.000000, sigma 0.386239
episode 72, episode_reward -49.040000, sigma 0.386046
episode 73, episode_reward -67.640000, sigma 0.385853
episode 74, episode_reward -55.440000, sigma 0.385660
episode 75, episode_reward -54.920000, sigma 0.385467
episode 76, episode_reward -53.800000, sigma 0.385274
episode 77, episode_reward -65.520000, sigma 0.385082
episode 78, episode_reward -62.960000, sigma 0.384889
episode 79, episode_reward -50.440000, sigma 0.384697
episode 80, episode_reward -59.400000, sigma 0.384504
episode 81, episode_reward -75.360000, sigma 0.384312
episode 82, episode_reward -51.360000, sigma 0.384120
episode 83, episode_reward -59.040000, sigma 0.383928
episode 84, episode_reward -45.440000, sigma 0.383736
episode 85, episode_reward -40.720000, sigma 0.383544
episode 86, episode_reward -33.520000, sigma 0.383352
episode 87, episode_reward -30.240000, sigma 0.383160
episode 88, episode_reward -22.960000, sigma 0.382969
episode 89, episode_reward 3.400000, sigma 0.382777
episode 90, episode_reward -12.920000, sigma 0.382586
episode 91, episode_reward -21.000000, sigma 0.382395
episode 92, episode_reward -34.600000, sigma 0.382203
episode 93, episode_reward -10.960000, sigma 0.382012
episode 94, episode_reward -21.280000, sigma 0.381821
episode 95, episode_reward -3.200000, sigma 0.381630
episode 96, episode_reward -19.520000, sigma 0.381440
episode 97, episode_reward -19.840000, sigma 0.381249
episode 98, episode_reward -31.760000, sigma 0.381058
episode 99, episode_reward -24.200000, sigma 0.380868
episode 100, episode_reward -16.920000, sigma 0.380677
episode 101, episode_reward -23.400000, sigma 0.380487
episode 102, episode_reward -18.240000, sigma 0.380297
episode 103, episode_reward -32.000000, sigma 0.380107
episode 104, episode_reward -25.240000, sigma 0.379917
episode 105, episode_reward -28.440000, sigma 0.379727
episode 106, episode_reward -29.920000, sigma 0.379537
episode 107, episode_reward -29.200000, sigma 0.379347
episode 108, episode_reward -20.800000, sigma 0.379157
episode 109, episode_reward -29.240000, sigma 0.378968
episode 110, episode_reward -27.400000, sigma 0.378778
episode 111, episode_reward -10.840000, sigma 0.378589
episode 112, episode_reward -9.120000, sigma 0.378400
episode 113, episode_reward -14.920000, sigma 0.378210
episode 114, episode_reward 0.600000, sigma 0.378021
episode 115, episode_reward -6.440000, sigma 0.377832
episode 116, episode_reward -5.000000, sigma 0.377643
