DQN：
实验条件：抽象训练 point43
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)

episode 1, episode_reward 3150, epsilon 1.000000
episode 2, episode_reward 4380, epsilon 0.990000
episode 3, episode_reward 3705, epsilon 0.980100
episode 4, episode_reward 1920, epsilon 0.970299
episode 5, episode_reward 2380, epsilon 0.960596
episode 6, episode_reward 2050, epsilon 0.950990
episode 7, episode_reward 2230, epsilon 0.941480
episode 8, episode_reward 1130, epsilon 0.932065
episode 9, episode_reward 2270, epsilon 0.922745
episode 10, episode_reward 4460, epsilon 0.913517
episode 11, episode_reward 1415, epsilon 0.904382
episode 12, episode_reward 1040, epsilon 0.895338
episode 13, episode_reward 3005, epsilon 0.886385
episode 14, episode_reward 1455, epsilon 0.877521
episode 15, episode_reward 1030, epsilon 0.868746
episode 16, episode_reward 2195, epsilon 0.860058
episode 17, episode_reward 1075, epsilon 0.851458
episode 18, episode_reward 4535, epsilon 0.842943
episode 19, episode_reward 935, epsilon 0.834514
episode 20, episode_reward 1020, epsilon 0.826169
episode 21, episode_reward 2780, epsilon 0.817907
episode 22, episode_reward 1480, epsilon 0.809728
episode 23, episode_reward 1985, epsilon 0.801631
episode 24, episode_reward 195, epsilon 0.793614
episode 25, episode_reward 825, epsilon 0.785678
episode 26, episode_reward 690, epsilon 0.777821
episode 27, episode_reward 215, epsilon 0.770043
episode 28, episode_reward 1035, epsilon 0.762343
episode 29, episode_reward 1025, epsilon 0.754719
episode 30, episode_reward 735, epsilon 0.747172
episode 31, episode_reward 4745, epsilon 0.739700
episode 32, episode_reward 1355, epsilon 0.732303
episode 33, episode_reward 255, epsilon 0.724980
episode 34, episode_reward 955, epsilon 0.717731
episode 35, episode_reward 1875, epsilon 0.710553
episode 36, episode_reward 1210, epsilon 0.703448
episode 37, episode_reward 920, epsilon 0.696413
episode 38, episode_reward 805, epsilon 0.689449
episode 39, episode_reward 775, epsilon 0.682555
episode 40, episode_reward 260, epsilon 0.675729
episode 41, episode_reward 575, epsilon 0.668972
episode 42, episode_reward 555, epsilon 0.662282
episode 43, episode_reward 715, epsilon 0.655659
episode 44, episode_reward 2095, epsilon 0.649103
episode 45, episode_reward 455, epsilon 0.642612
episode 46, episode_reward 3200, epsilon 0.636185
episode 47, episode_reward 635, epsilon 0.629824
episode 48, episode_reward 435, epsilon 0.623525
episode 49, episode_reward 2435, epsilon 0.617290
episode 50, episode_reward 730, epsilon 0.611117
episode 51, episode_reward 475, epsilon 0.605006
episode 52, episode_reward 1625, epsilon 0.598956
episode 53, episode_reward 1115, epsilon 0.592966
episode 54, episode_reward 850, epsilon 0.587037
episode 55, episode_reward 200, epsilon 0.581166
episode 56, episode_reward 520, epsilon 0.575355
episode 57, episode_reward 1470, epsilon 0.569601
episode 58, episode_reward 540, epsilon 0.563905
episode 59, episode_reward 270, epsilon 0.558266
episode 60, episode_reward 520, epsilon 0.552683
episode 61, episode_reward 830, epsilon 0.547157
episode 62, episode_reward 1200, epsilon 0.541685
episode 63, episode_reward 485, epsilon 0.536268
episode 64, episode_reward 205, epsilon 0.530906
episode 65, episode_reward 1755, epsilon 0.525596
episode 66, episode_reward 435, epsilon 0.520341
episode 67, episode_reward 590, epsilon 0.515137
episode 68, episode_reward 1000, epsilon 0.509986
episode 69, episode_reward 1415, epsilon 0.504886
episode 70, episode_reward 2060, epsilon 0.499837
episode 71, episode_reward 215, epsilon 0.494839
episode 72, episode_reward 665, epsilon 0.489890
episode 73, episode_reward 520, epsilon 0.484991
episode 74, episode_reward 20, epsilon 0.480141
episode 75, episode_reward 1860, epsilon 0.475340
episode 76, episode_reward -5, epsilon 0.470587
episode 77, episode_reward 1380, epsilon 0.465881
episode 78, episode_reward 290, epsilon 0.461222
episode 79, episode_reward 440, epsilon 0.456610
episode 80, episode_reward 1100, epsilon 0.452044
episode 81, episode_reward 25, epsilon 0.447523
episode 82, episode_reward 1200, epsilon 0.443048
episode 83, episode_reward 380, epsilon 0.438618
episode 84, episode_reward 135, epsilon 0.434231
episode 85, episode_reward 530, epsilon 0.429889
episode 86, episode_reward 2570, epsilon 0.425590
episode 87, episode_reward 540, epsilon 0.421334
episode 88, episode_reward 1130, epsilon 0.417121
episode 89, episode_reward 225, epsilon 0.412950
episode 90, episode_reward 245, epsilon 0.408820
episode 91, episode_reward 1620, epsilon 0.404732
episode 92, episode_reward 35, epsilon 0.400685
episode 93, episode_reward 1395, epsilon 0.396678
episode 94, episode_reward 240, epsilon 0.392711
episode 95, episode_reward 355, epsilon 0.388784
episode 96, episode_reward 1200, epsilon 0.384896
episode 97, episode_reward 60, epsilon 0.381047
episode 98, episode_reward 1685, epsilon 0.377237
episode 99, episode_reward 110, epsilon 0.373464
episode 100, episode_reward 445, epsilon 0.369730
