DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 1, episode_reward 2240, epsilon 1.000000
episode 2, episode_reward -470, epsilon 0.990000
episode 3, episode_reward 2890, epsilon 0.980100
episode 4, episode_reward 500, epsilon 0.970299
episode 5, episode_reward 1540, epsilon 0.960596
episode 6, episode_reward 415, epsilon 0.950990
episode 7, episode_reward 415, epsilon 0.941480
episode 8, episode_reward 1875, epsilon 0.932065
episode 9, episode_reward 2215, epsilon 0.922745
episode 10, episode_reward 1375, epsilon 0.913517
episode 11, episode_reward 2235, epsilon 0.904382
episode 12, episode_reward 1445, epsilon 0.895338
episode 13, episode_reward 1715, epsilon 0.886385
episode 14, episode_reward 425, epsilon 0.877521
episode 15, episode_reward 1440, epsilon 0.868746
episode 16, episode_reward 2130, epsilon 0.860058
episode 17, episode_reward 9115, epsilon 0.851458
episode 18, episode_reward 1700, epsilon 0.842943
episode 19, episode_reward 350, epsilon 0.834514
episode 20, episode_reward 2530, epsilon 0.826169
episode 21, episode_reward 3415, epsilon 0.817907
episode 22, episode_reward 2230, epsilon 0.809728
episode 23, episode_reward 1455, epsilon 0.801631
episode 24, episode_reward 2740, epsilon 0.793614
episode 25, episode_reward 2045, epsilon 0.785678
episode 26, episode_reward 2975, epsilon 0.777821
episode 27, episode_reward 5990, epsilon 0.770043
episode 28, episode_reward 2625, epsilon 0.762343
episode 29, episode_reward 465, epsilon 0.754719
episode 30, episode_reward 1275, epsilon 0.747172
episode 31, episode_reward 2000, epsilon 0.739700
episode 32, episode_reward 1915, epsilon 0.732303
episode 33, episode_reward 1490, epsilon 0.724980
episode 34, episode_reward 3905, epsilon 0.717731
episode 35, episode_reward 2010, epsilon 0.710553
