DQN：非抽象训练

EPISODES = 10000
EPSILON = 1
INTERVAL_NUM = 100

EPSILON_DECAY = 0.995  ## 0.9975 99975
MIN_EPSILON = 0.001

MIN_REPLAY_MEMORY_SIZE = 1_000
AGGREGATE_STATS_EVERY = 5


REPLAY_MEMORY_SIZE = 7_000

MINIBATCH_SIZE = 4
UPDATE_TARGET_EVERY = 10  # used to be 10
DISCOUNT = 0.99

SECONDS_PER_EPISODE = 20
    STEER_AMT = 1
    SPEED_AMT = 1
step:
            if action == 0:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=-1.0 * self.STEER_AMT))
            if action == 1:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=0.0))
            if action == 2:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=1.0 * self.STEER_AMT))
        if len(self.collision_hist) != 0:
            done = True
            reward -= 1
        elif kmh < 50:
            done = False
            reward -= 1
        else:
            done = False
            reward += 1
episode 1, episode_reward -122, epsilon 1.000000
episode 2, episode_reward -123, epsilon 0.995000
episode 3, episode_reward -86, epsilon 0.990025
episode 4, episode_reward -118, epsilon 0.985075
episode 5, episode_reward -21, epsilon 0.980150
episode 6, episode_reward -118, epsilon 0.975249
episode 7, episode_reward -139, epsilon 0.970373
episode 8, episode_reward -121, epsilon 0.965521
episode 9, episode_reward -131, epsilon 0.960693
episode 10, episode_reward -121, epsilon 0.955890
episode 11, episode_reward -121, epsilon 0.951110
episode 12, episode_reward -107, epsilon 0.946355
episode 13, episode_reward -119, epsilon 0.941623
episode 14, episode_reward -119, epsilon 0.936915
episode 15, episode_reward -98, epsilon 0.932230
episode 16, episode_reward -116, epsilon 0.927569
episode 17, episode_reward -121, epsilon 0.922931
episode 18, episode_reward -113, epsilon 0.918316
episode 19, episode_reward -127, epsilon 0.913725
episode 20, episode_reward -116, epsilon 0.909156
episode 21, episode_reward -119, epsilon 0.904610
episode 22, episode_reward -132, epsilon 0.900087
episode 23, episode_reward -115, epsilon 0.895587
episode 24, episode_reward -119, epsilon 0.891109
episode 25, episode_reward -120, epsilon 0.886654
episode 26, episode_reward -119, epsilon 0.882220
episode 27, episode_reward -111, epsilon 0.877809
episode 28, episode_reward -119, epsilon 0.873420
episode 29, episode_reward -124, epsilon 0.869053
episode 30, episode_reward -122, epsilon 0.864708
episode 31, episode_reward -113, epsilon 0.860384
episode 32, episode_reward -118, epsilon 0.856082
episode 33, episode_reward -106, epsilon 0.851802
episode 34, episode_reward -123, epsilon 0.847543
episode 35, episode_reward -76, epsilon 0.843305
episode 36, episode_reward -105, epsilon 0.839089
